session_id,gps_date,gps_time,latitude,longitude,velocity,course,satellites_in_view,satellites_used,hdop,label
20260608_080029,6/8/2026,00:00:30,32.0952277,36.0899823,0.032,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:31,32.0952277,36.0899823,0.006,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:32,32.0952277,36.089982,0.026,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:33,32.0952277,36.0899817,0.023,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:34,32.0952277,36.0899813,0.027,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:35,32.0952278,36.089981,0.009,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:36,32.0952277,36.0899805,0.004,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:37,32.0952277,36.0899798,0.016,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:38,32.0952278,36.0899795,0.011,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:39,32.0952278,36.0899798,0.011,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:40,32.095228,36.08998,0.008,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:41,32.095228,36.0899802,0.009,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:42,32.095228,36.0899802,0.011,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:43,32.095228,36.0899802,0.01,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:44,32.0952278,36.08998,0.006,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:45,32.0952278,36.08998,0.008,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:46,32.095228,36.0899803,0.006,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:47,32.095228,36.0899805,0.01,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:48,32.0952278,36.0899805,0.017,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:49,32.0952275,36.0899807,0.006,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:50,32.0952273,36.0899805,0.003,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:51,32.0952275,36.0899807,0.003,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:52,32.0952273,36.0899808,0.006,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:53,32.0952273,36.0899812,0.053,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:54,32.0952272,36.0899812,0.012,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:55,32.095227,36.0899808,0.029,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:56,32.0952268,36.0899805,0.006,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:57,32.0952265,36.08998,0.008,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:58,32.095226,36.0899795,0.024,,12,10,0.8,0
20260608_080029,6/8/2026,00:00:59,32.0952258,36.0899793,0.001,,12,10,0.8,0
20260608_080029,6/8/2026,00:01:00,32.0952257,36.0899792,0.012,,12,10,0.8,0
20260608_080029,6/8/2026,00:01:01,32.0952258,36.089979,0.018,,12,10,0.8,0
20260608_080029,6/8/2026,00:01:02,32.0952253,36.089979,0.084,,12,10,0.8,0
20260608_080029,6/8/2026,00:01:03,32.0952222,36.0899755,0.735,220.76,12,9,0.85,0
20260608_080029,6/8/2026,00:01:04,32.0952182,36.0899785,0.704,176.53,12,10,0.85,0
20260608_080029,6/8/2026,00:01:05,32.0952123,36.0899858,0.988,152.91,12,10,0.8,0
20260608_080029,6/8/2026,00:01:06,32.0952037,36.089997,1.445,142.75,12,10,0.8,0
20260608_080029,6/8/2026,00:01:07,32.0951952,36.0900093,1.371,137.71,12,10,0.8,0
20260608_080029,6/8/2026,00:01:08,32.0951878,36.0900188,1.071,134.96,12,10,0.8,0
20260608_080029,6/8/2026,00:01:09,32.0951843,36.0900275,0.716,129.71,12,10,0.8,0
20260608_080029,6/8/2026,00:01:10,32.0951853,36.0900305,0.256,,12,10,0.8,0
20260608_080029,6/8/2026,00:01:11,32.0951863,36.0900297,0.055,,12,10,0.8,0
20260608_080029,6/8/2026,00:01:12,32.0951882,36.0900238,0.873,223.5,12,10,0.8,0
