session_id,gps_date,gps_time,latitude,longitude,velocity,course,satellites_in_view,satellites_used,hdop,label
20260609_190003,6/9/2026,0:00:07,32.1002687,36.1122155,0.097,0.0,10,5,1.81,0
20260609_190003,6/9/2026,0:00:08,32.1002695,36.1122165,0.144,0.0,10,5,1.81,0
20260609_190003,6/9/2026,0:00:09,32.1002693,36.112216,0.14,0.0,10,6,1.81,0
20260609_190003,6/9/2026,0:00:10,32.1002682,36.1122145,0.09,0.0,10,6,1.81,0
20260609_190003,6/9/2026,0:00:11,32.1002678,36.112214,0.096,0.0,10,6,1.81,0
20260609_190003,6/9/2026,0:00:12,32.1002545,36.1121913,0.064,235.33,10,6,1.31,0
20260609_190003,6/9/2026,0:00:13,32.1002422,36.11217,0.039,235.72,10,6,1.31,0
20260609_190003,6/9/2026,0:00:14,32.100233,36.112154,0.021,235.83,10,6,1.31,0
20260609_190003,6/9/2026,0:00:15,32.1002335,36.112154,0.042,235.83,10,5,1.8,0
20260609_190003,6/9/2026,0:00:16,32.100234,36.1121543,0.038,235.83,10,5,1.8,0
20260609_190003,6/9/2026,0:00:17,32.1002338,36.112154,0.015,235.83,10,5,1.8,0
20260609_190003,6/9/2026,0:00:18,32.1002347,36.1121563,0.031,235.83,10,5,1.8,0
20260609_190003,6/9/2026,0:00:19,32.1002383,36.1121568,0.318,235.83,10,6,1.8,0
20260609_190003,6/9/2026,0:00:20,32.10024,36.1121593,0.246,235.83,10,6,1.8,0
20260609_190003,6/9/2026,0:00:21,32.100241,36.1121593,0.156,235.83,10,6,1.31,0
20260609_190003,6/9/2026,0:00:22,32.1002373,36.1121602,0.263,235.83,10,7,1.31,0
20260609_190003,6/9/2026,0:00:23,32.1002352,36.1121635,0.401,235.83,10,7,1.31,0
20260609_190003,6/9/2026,0:00:24,32.100233,36.1121665,0.439,235.83,10,6,1.31,0
20260609_190003,6/9/2026,0:00:25,32.1002327,36.1121642,0.293,235.83,10,6,1.31,0
20260609_190003,6/9/2026,0:00:26,32.1002403,36.1121613,0.38,342.09,10,7,1.31,0
20260609_190003,6/9/2026,0:00:27,32.1002542,36.1121602,0.787,356.16,10,7,1.31,0
20260609_190003,6/9/2026,0:00:28,32.1002608,36.112163,0.507,19.77,10,6,1.31,0
20260609_190003,6/9/2026,0:00:29,32.1002617,36.1121647,0.195,19.77,10,5,1.8,0
20260609_190003,6/9/2026,0:00:30,32.1002623,36.1121642,0.129,19.77,10,5,1.8,0
20260609_190003,6/9/2026,0:00:31,32.1002628,36.1121653,0.1,19.77,10,5,1.8,0
20260609_190003,6/9/2026,0:00:32,32.100264,36.1121663,0.098,19.77,10,5,1.8,0
20260609_190003,6/9/2026,0:00:33,32.1002633,36.112166,0.062,19.77,10,5,1.8,0
20260609_190003,6/9/2026,0:00:34,32.1002562,36.1121778,0.337,125.39,10,7,1.53,0
20260609_190003,6/9/2026,0:00:35,32.100267,36.1121787,0.407,4.04,10,6,1.79,0
20260609_190003,6/9/2026,0:00:36,32.1002762,36.1121778,0.851,359.95,10,6,1.79,0
20260609_190003,6/9/2026,0:00:37,32.1002852,36.1121792,1.17,4.99,10,6,1.79,0
20260609_190003,6/9/2026,0:00:38,32.1002963,36.1121805,1.307,5.59,10,6,1.79,0
20260609_190003,6/9/2026,0:00:39,32.1003047,36.112181,1.073,5.39,10,5,1.79,0
20260609_190003,6/9/2026,0:00:40,32.1003127,36.1121837,1.045,9.79,10,5,1.79,0
20260609_190003,6/9/2026,0:00:41,32.1003203,36.1121873,1.041,13.84,10,5,1.79,0
